id_questao;missao;pergunta;alternativa_certa;texto_alternativa_a;texto_alternativa_b;texto_alternativa_c;texto_alternativa_d;texto_alternativa_e;texto_alternativa_certa
M1_Q1;1;"Qual das seguintes não é uma característica de uma linguagem de programação conforme definido no documento?";b;"Expressividade";"Portabilidade";"Universalidade";"Simplicidade";"Implementável";"Portabilidade"
M1_Q2;1;"O que a característica de 'Universalidade' de uma linguagem de programação implica?";c;"Que ela deve ser fácil de aprender.";"Que ela pode resolver apenas problemas matemáticos.";"Que ela pode resolver qualquer problema que um computador seja capaz de resolver.";"Que ela deve ser usada por todos os programadores.";"Que ela só pode ser usada em máquinas de alto desempenho.";"Que ela pode resolver qualquer problema que um computador seja capaz de resolver."
M1_Q3;1;"De acordo com o documento, qual a principal diferença entre uma linguagem de programação e uma linguagem de consulta a banco de dados (query language)?";a;"A linguagem de programação precisa dar suporte a recursão, iteração ou desvios.";"A linguagem de programação é sempre mais antiga.";"A linguagem de programação é de alto nível.";"A linguagem de consulta é mais popular.";"A linguagem de programação é usada apenas para fins comerciais.";"A linguagem de programação precisa dar suporte a recursão, iteração ou desvios."
M1_Q4;1;"O que é uma linguagem de programação de baixo nível de acordo com o texto?";a;"Uma linguagem com instruções que refletem de forma mais direta as operações em nível de máquina.";"Uma linguagem com sintaxe complexa e difícil de usar.";"Uma linguagem com alta portabilidade.";"Uma linguagem que é mais lenta e consome mais recursos.";"Uma linguagem projetada para aplicações de IA.";"Uma linguagem com instruções que refletem de forma mais direta as operações em nível de máquina."
M1_Q5;1;"Qual é uma das principais desvantagens de usar uma linguagem de programação de baixo nível segundo o documento?";b;"É difícil de traduzir para linguagem de máquina.";"Tem pouca portabilidade.";"Consome menos recursos do sistema.";"É mais simples de programar.";"É a mais eficiente em termos de tempo.";"Tem pouca portabilidade."
M1_Q6;1;"Qual linguagem de programação é citada como exemplo de uma LP de baixo nível?";d;"Python";"Java";"C++";"Assembly";"Pascal";"Assembly"
M1_Q7;1;"Qual das seguintes linguagens é descrita como sendo a primeira a introduzir conceitos de orientação a objetos (OO) como classe e herança?";d;"Pascal";"Fortran";"C";"Simula";"Lisp";"Simula"
M1_Q8;1;"Qual LP desenvolvida pela IBM na década de 1950 foi voltada para computação numérica e científica e introduziu o conceito de arrays e procedimentos com parâmetros?";e;"Algol-60";"Pascal";"C";"Simula";"Fortran";"Fortran"
M1_Q9;1;"Qual LP descrita no documento como a primeira puramente orientada a objetos e dinamicamente tipada e oferece suporte a reflexão?";d;"Java";"C";"C++";"Smalltalk";"Simula";"Smalltalk"
M1_Q10;1;"O documento menciona que a programação estruturada começou a ser introduzida com qual linguagem?";a;"Algol-60";"Fortran";"Simula";"C";"Pascal";"Algol-60"
