id_questao,missao,pergunta,alternativa_Certa,texto alternativa_a,texto alternativa_b,texto alternativa_c,texto alternativa_d,texto alternativa_e,texto_alternativa_certa
"M1_Q01",1,"De acordo com o material, qual é o nome completo do professor responsável pela disciplina?","b","Everton L. G. Ribeiro.","Everton L. G. Alves.","Everton G. Alves.","Everton L. Alves.","Everton de G. Alves.","Everton L. G. Alves."
"M1_Q02",1,"Em que universidade o professor Everton L. G. Alves obteve sua graduação, mestrado e doutorado?","c","Universidade de São Paulo (USP).","University of Texas in Austin.","Universidade Federal de Campina Grande (UFCG).","Universidade Estadual da Paraíba (UEPB).","Massachusetts Institute of Technology (MIT).","Universidade Federal de Campina Grande (UFCG)."
"M1_Q03",1,"Segundo a definição apresentada no material, o que é um ""paradigma""?","d","Uma técnica de programação avançada.","Um tipo de linguagem de programação.","Um método de avaliação de software.","Um modelo ou padrão a ser seguido.","Um conjunto de regras gramaticais de uma linguagem.","Um modelo ou padrão a ser seguido."
"M1_Q04",1,"Qual é o nome completo da disciplina apresentada?","c","Princípios de Linguagens de Programação.","Programação de Linguagens Puras.","Paradigmas de Linguagens de Programação.","Programação Lógica e Funcional.","Plataformas de Linguagens de Programação.","Paradigmas de Linguagens de Programação."
"M1_Q05",1,"Na analogia dos macacos, o que acontecia toda vez que um macaco tentava subir na escada?","a","Jorrava água gelada sobre os demais macacos.","Ele era premiado com bananas.","Ele era isolado dos outros macacos.","A gaiola era aberta.","Os cientistas removiam a escada.","Jorrava água gelada sobre os demais macacos."
"M1_Q06",1,"No experimento dos macacos, o que a comunidade de macacos passou a fazer para evitar o castigo?","b","Eles trabalharam em equipe para pegar as bananas.","Eles espancavam qualquer macaco que tentasse subir na escada.","Eles se esconderam do dispositivo de água.","Eles sabotaram a escada.","Eles criaram uma nova escada.","Eles espancavam qualquer macaco que tentasse subir na escada."
"M1_Q07",1,"Qual o principal objetivo da disciplina, conforme o material?","e","Aprender a programar em Haskell.","Dominar apenas os paradigmas Python e Java.","Criar projetos de software complexos.","Analisar a história das linguagens de programação.","Estudar os principais conceitos e paradigmas que dão origem a diferentes estilos de programação.","Estudar os principais conceitos e paradigmas que dão origem a diferentes estilos de programação."
"M1_Q08",1,"O que o ""Paradigma Cartesiano"" se baseia?","a","Na visão mecanicista do conhecimento, dividindo o todo em partes.","No uso de linguagens de programação declarativas.","Na união de todas as partes para entender o todo.","Na visão puramente funcional da programação.","No artigo 461 da CLT.","Na visão mecanicista do conhecimento, dividindo o todo em partes."
"M1_Q09",1,"Qual é a principal função dos paradigmas de linguagens de programação?","b","Definir a sintaxe de uma linguagem.","Guiar o design das linguagens de programação.","Determinar a velocidade de execução do código.","Avaliar o desempenho de um programador.","Organizar a equipe de desenvolvimento.","Guiar o design das linguagens de programação."
"M1_Q10",1,"De acordo com o material, por que é importante estudar paradigmas de linguagens de programação?","d","Porque todas as linguagens de programação seguem o mesmo paradigma.","Para focar apenas em linguagens populares como Python e Java.","Para provar que já se sabe programar.","Para aumentar o arsenal de ferramentas para resolver problemas e atender às exigências do mercado.","Porque o mercado tem exigido que os desenvolvedores dominem apenas um paradigma.","Para aumentar o arsenal de ferramentas para resolver problemas e atender às exigências do mercado."
"M1_Q11",1,"Qual dos seguintes paradigmas não é mencionado no slide ""Paradigmas"" do material?","a","Programação Estruturada.","Funcional.","Lógico.","Concorrente.","Imperativo.","Programação Estruturada."
